iso,entity_type,name,country,region,area,lat,lng,population,population_year,baseline_year,baseline_emissions,raw_net_zero_commitment,ghg_reduction_target,target_year,percent_reduction,initiatives_committed,net_zero_target_status,econ_wide_net_zero,pop_density,emis_per_capita,coordinator_name,support_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,City,Asse,Belgium,Europe,49.64,50.9,4.2,31748,2018,2011,154417.234,"The municipality of Asse wants an ambitious but realistic climate policy. The ambition level of CO2 reduction by 2020 is 20%. In the long term it is the ambition of the municipality to be carbon neutral. In addition to the measurable actions in function of a CO2 reduction, it is also appropriate to create support of all the stakeholders. Therefore the second objective is to achieve 20% more behavioural change on climate. This means that as many citizens as possible and other partners get involved in the climate actions.The municipality of Asse is for a double 20-20 objective by 2020: 20% less climate change and 20% more behavioural change. The motto is: ""Together for a livable Asse"".",20% below 2011 levels by 2020,2020,20,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,"2,4",1,639.564867,4.863841313,Provincie Vlaams-Brabant,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,City,"Austin, TX",United States of America,North America,704,30.26666667,-97.73333333,1265974,2017,NA,NA,Net zero community-wide greenhouse gas emissions by 2050.;;Net zero community-wide greenhouse gas emissions by 2050.,NA,2050,100,Carbonn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;C40Cities2019;Under2Coalition2019;WeAreStillIn2019;CDPCities2018;NAZCA,"1,4",1,1798.258523,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,City,"Austin, TX",United States of America,North America,704,30.26666667,-97.73333333,1265974,2017,NA,NA,Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020. ;;Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020.,NA,2012,100,Carbonn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;C40Cities2019;Under2Coalition2019;WeAreStillIn2019;CDPCities2018;NAZCA,"1,4",1,1798.258523,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,City,"Austin, TX",United States of America,North America,704,30.26666667,-97.73333333,1265974,2017,NA,NA,Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020. ;;Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020.,NA,2020,100,Carbonn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;C40Cities2019;Under2Coalition2019;WeAreStillIn2019;CDPCities2018;NAZCA,"1,4",1,1798.258523,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,City,Bagnoli di Sopra,Italy,Europe,34.98,45.18333333,11.88333333,3646,2004,2008,83184.48938,"To improve the energy efficiency of industrial sector with renewable enrgy source, and decrease the consumption. To became Carbon neutral by 2050",25% below 2008 levels by 2020,2020,25,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,4,1,104.2309891,22.8152741,Province of Padova,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,City,Barcelona,Spain,Europe,101.4,41.3825596,2.1771353,1608746,2018,2005,4997970,Barcelona’s strategy to reduce emissions by 45% on route to becoming carbon neutral by 2050,NA,2050,80,GlobalCovenantofMayors2019;EUCovenantofMayors2019;Carbonn2019;CDPCities2018;C40Cities2019;NAZCA,"1, 2, 4",1,15865.34517,3.106748983,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,City,Beersel,Belgium,Europe,30.01,50.76666667,4.3,24504,2018,2011,102890.4,"Climate change is one of the greatest challenges humanity has ever faced. Immediate and extensive action is needed on every level (global, regional, national, local and individual). By signing the Covenant of Mayors the municipality of Beersel aims for a 20% reduction of CO2 emissions by 2020. The realisation of this target is considered a first and foremost step to put Beersel on the right track towards its long term target of carbon neutrality.",20% below 2011 levels by 2020,2020,20,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,4,1,816.5278241,4.198922625,Provincie Vlaams-Brabant,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,City,Belfiore,Italy,Europe,26.45,45.382215,11.209574,3055,2017,2010,19048.37,"To increase all renewable energy source, convert all transport sector with electric engine, and became carbon neutral by 2035",78% below 2010 levels by 2020,2020,78,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,4,1,115.5009452,6.235145663,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,City,"Birmingham, UK",United Kingdom,Europe,267.804966,52.40551245,-2.016125604,1028700,2019,2005,452769.5,"Birmingham City Council and partners have set an ambitious target for the city to become net zero by 2030. The priority areas for action include improving the energy efficiency of homes and buildings, reducing the city's reliance on unsustainable energy through low carbon energy generation; reducing the city's impact on non-renewable resources through improved management; taking action to impact the city's mobility needs through low carbon transport; preparing for the effects of climate change; engaging with citizens and businesses in terms of awareness campaigns.action_description1: Birmingham  has worked closely with Engie around the Birmingham District Energy Company. WE have the UK's largest city centre scheme and we are looking for additional connections to be made over time. The most recent addition was the connection of New Street Station.;;action_description2: Conversion of cities street lights from 70MW SON lights to 45MW LED units. Benefits include: Improved visibility, light quality, robust service - enhanced community safety. Benefits:
Supports & deliver’s the City’s Climate Change aspirations- Pathway to achieving the Council’s carbon reduction targets
Sustainable solution (long life, low maintenance)
Full dimming capability (no run up e.g. instant light output) 
Low overall circuit power (including drivers) 
Improved service levels (reduced outages – supports feeling of well being)
Future proofing and fully flexible responsive lighting system (management & control)
Reduced vehicle journeys, lamp & component replacements ;;action_description3: Birmingham is on a journey to cleaner air. Pollution in the air, mainly caused by vehicles on the roads, is having a harmful effect on the health of people living, working and studying in the city. Birmingham’s Clean Air Zone will cover all the roads within the A4540 Middleway Ring Road, but not the Middleway itself. Driving within the CAZ area will incur a charge. Clean Air Zone charges are based on the vehicle and not the person driving or any passengers or goods being carried. Charges depend on the type of vehicle (eg car, bus, lorry, taxi) and what sort of engine it has.;;action_description4: The Birmingham Home & Hub project will create a whole place solution for currently stalled brownfield sites including innovative low carbon homes around communal energy hubs exploring renewable fuel sources deployed through improved community landscape.

This aligns with the Birmingham Low Carbon Mobility Strategy and Low Carbon Energy plan and the Smithfield Zero Emissions Cities initiatives.  The potential for the Home and Hub new green urban community developments to provide an impetus and service delivery of local area regeneration is an important driver for undertaking the demonstration project. All fabric u-values target 0.15 an air-tightness will be < 1m3/m2/hr @ 50Pa.",100% below 2005 levels by 2030,2030,100,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,"1,2,4",1,3841.228247,0.440137552,Energy Saving Trust,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,City,"Birmingham, UK",United Kingdom,Europe,267.804966,52.40551245,-2.016125604,1028700,2019,2005,452769.5,"Birmingham City Council and partners have set an ambitious target for the city to become net zero by 2030. The priority areas for action include improving the energy efficiency of homes and buildings, reducing the city's reliance on unsustainable energy through low carbon energy generation; reducing the city's impact on non-renewable resources through improved management; taking action to impact the city's mobility needs through low carbon transport; preparing for the effects of climate change; engaging with citizens and businesses in terms of awareness campaigns.action_description1: Birmingham  has worked closely with Engie around the Birmingham District Energy Company. WE have the UK's largest city centre scheme and we are looking for additional connections to be made over time. The most recent addition was the connection of New Street Station.;;action_description2: Conversion of cities street lights from 70MW SON lights to 45MW LED units. Benefits include: Improved visibility, light quality, robust service - enhanced community safety. Benefits:
Supports & deliver’s the City’s Climate Change aspirations- Pathway to achieving the Council’s carbon reduction targets
Sustainable solution (long life, low maintenance)
Full dimming capability (no run up e.g. instant light output) 
Low overall circuit power (including drivers) 
Improved service levels (reduced outages – supports feeling of well being)
Future proofing and fully flexible responsive lighting system (management & control)
Reduced vehicle journeys, lamp & component replacements ;;action_description3: Birmingham is on a journey to cleaner air. Pollution in the air, mainly caused by vehicles on the roads, is having a harmful effect on the health of people living, working and studying in the city. Birmingham’s Clean Air Zone will cover all the roads within the A4540 Middleway Ring Road, but not the Middleway itself. Driving within the CAZ area will incur a charge. Clean Air Zone charges are based on the vehicle and not the person driving or any passengers or goods being carried. Charges depend on the type of vehicle (eg car, bus, lorry, taxi) and what sort of engine it has.;;action_description4: The Birmingham Home & Hub project will create a whole place solution for currently stalled brownfield sites including innovative low carbon homes around communal energy hubs exploring renewable fuel sources deployed through improved community landscape.

This aligns with the Birmingham Low Carbon Mobility Strategy and Low Carbon Energy plan and the Smithfield Zero Emissions Cities initiatives.  The potential for the Home and Hub new green urban community developments to provide an impetus and service delivery of local area regeneration is an important driver for undertaking the demonstration project. All fabric u-values target 0.15 an air-tightness will be < 1m3/m2/hr @ 50Pa.",52% below 2005 levels by 2020,2020,52,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,"2,4",1,3841.228247,0.440137552,Energy Saving Trust,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,City,Bolzano,Italy,Europe,3.3,46.4981125,11.3547801,102880,2015,2010,520710.1,"The city of Bolzano/Bozen has been committed since 2010 to reduce CO2 emissions in its territory at least of 20% by 2020, in comparison to the base emissions inventory of 2010. To renovate its commitment, the city joined 2017 the New Covenant of Mayors, with the goal to reduce CO2 emissions of 40,65% in comparison to 2010 and to become more resilient to the effects of climate changes. Main mitigation and adpatation actions are: refurbishment of existing buildings, promotion of sustainable mobility, increasing green infrastructures, infrastructures to prevent mass movement. The vision and commitment of the city is to reach carbon neutrality in the near future.",24% below 2010 levels by 2020,2020,24,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,4,1,31175.75758,5.061334565,"Climate Alliance Italy, IT",Supporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,City,Bolzano,Italy,Europe,3.3,46.4981125,11.3547801,102880,2015,2010,520710.1,"The city of Bolzano/Bozen has been committed since 2010 to reduce CO2 emissions in its territory at least of 20% by 2020, in comparison to the base emissions inventory of 2010. To renovate its commitment, the city joined 2017 the New Covenant of Mayors, with the goal to reduce CO2 emissions of 40,65% in comparison to 2010 and to become more resilient to the effects of climate changes. Main mitigation and adpatation actions are: refurbishment of existing buildings, promotion of sustainable mobility, increasing green infrastructures, infrastructures to prevent mass movement. The vision and commitment of the city is to reach carbon neutrality in the near future.",40.65% below 2010 levels by 2030,2030,40.65,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,4,1,31175.75758,5.061334565,"Climate Alliance Italy, IT",Supporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,City,"Boulder, CO",United States of America,North America,64.3353516,40.015,-105.2705556,105112,2016,NA,NA,"Member of the 22 city member Carbon Neutral Cities Alliance (CNCA);;action_description_1: First in the nation to pass a Climate Action Plan (CAP) tax to fund initiatives to reduce GHG emissions ;; action_description_2: Completed baseline GHG Inventory, and ones in 2010 and 2012. Starting in 2015, performing annual inventories. ;; action_description_3: City facilities have saved more than 20% to date in emissions through a performance contract initiated in 2009 ;; action_description_4: In 2010, the city adopted the SmartRegs ordinance to help promote and improve energy efficiency in rental housing units ;; action_description_5: An accelerated Net-Zero Energy Code, adopted in 2013, requires new and remodeled residential and commercial buildings to meet net-zero energy by 2031 ;; action_description_6: Achieved Solar Friendly Community Platinum designation in 2014 and introduced the Boulder Solar Tool (http://mapdwell.com/boulder) in 2015 to aid the community’s understanding of individual building and aggregated urban rooftop solar PV potential ;; action_description_7: The Universal Zero Waste Ordinance was adopted in July 2015 ;; action_description_8: The Building Performance Ordinance was adopted in October 2015, requiring all large commercial and industrial buildings to rate and report their energy use and perform energy efficiency over time. 100% compliance rate over the first two years. ;; action_description_9: Recently developed a Local Energy Impact Offset fund ;; action_description_10: Adopted the 2017 City of Boulder Energy Conservation Code, among the most stringent energy code in the country ;; action_description_11: Boulder launched a community-wide engagement process around climate commitment strategy that will extend through Q1 of 2016;;Member of the 22 city member Carbon Neutral Cities Alliance (CNCA)",NA,NA,100,WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;Carbonn2019;Under2Coalition2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,"1,2,4",1,1633.814029,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,City,Bristol,United Kingdom,Europe,NA,51.45,-2.583333333,441300,2017,2005,2381745,"Raw commitment:  On 24th June, the UK Government enshrined a new net-zero emissions target for 2050 into UK law. Our goal is to be net zero for Greenhouse Gas emissions by 2050  (scopes 1 and 2).  We are currently considering how we will establish a baseline for scope 3 emissions and monitor in the future.  ;  Does this target align with the global 1.5 - 2°C pathway set out in the Paris agreement? Yes - 1.5 °C",NA,2020,40,Under2Coalition2019;Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,NA,1,NA,5.397110809,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,City,Buenos Aires,Argentina,Latin America and Caribbean,203,-34.6037,-58.3816,2890151,2010,2008,12742478,"NA Translated Raw Commitment: Methodology / Parameters: A trend emissions scenario (Business as Usual) was prepared using as a basis the projections prepared by the national government for the preparation of its NDC (Contribution Determined at the National level), published in 2016. From the emission reduction estimated by the mitigation measures proposed for 2020, a mitigation goal was determined for 2020 and 2030. Target description & / or ambition relative to NDC: The current mitigation goal of the City of Buenos Aires is established in the Action Plan against Climate Change, elaborated in 2015. Said goal was elaborated from a Business as Usual scenario built with information provided by the national government, for which reason said goal is in line with the Argentine NDC presented in 2016. Currently, the City of Buenos Aires began the process of preparing a new climate action plan, participating in the Tea Assistance Program Clinic for Climate Planning together with C40, with the aim of preparing a climate action plan in line with the Paris Agreement. This new action plan is expected to be published in 2020, and contain a mitigation target by 2050 that tends to carbon neutrality, as well as much more ambitious intermediate mitigation targets.",NA,2030,30,CDPCities2018;Carbonn2019;C40Cities2019;GlobalCovenantofMayors2019;NAZCA,3,1,14237.19704,4.408931575,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,City,Byron Shire,Australia,East Asia and the Pacific,556,-28.55,153.5,32723,2011,2015,18660,"Raw commitment:  Our target is to get to net zero emissions for all Council operations by 2025.  ;  Does this target align with the global 1.5 - 2°C pathway set out in the Paris agreement? Yes - 1.5 °C;Transferable emissions:  Renewable energy generation produced within the geographic boundary, or reflecting an investment by the city - By 2027, Council intends to source 100% of its energy from renewable sources - therefore there will be significant renewable energy generation produced within the geographic boundary. For example, we are planning to install a 5MW solar farm in 2022.",NA,2025,100,Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,"1,2,4",1,58.85431655,0.570241115,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
