name,iso
Somoniyon,TJK
San Polo d'Enza,ITA
Andrano,ITA
Cheremule,ITA
Ossana,ITA
Balti,MDA
Monrupino-Repentabor,ITA
Ville de Nivelles,BEL
Maldegem,BEL
Groningen,NLD
Seulo,ITA
Botkyrka,SWE
San Pietro Viminario (Pd),ITA
Riner,ESP
Cajnice,BIH
Roveredo In Piano,ITA
Roveredo In Piano,ITA
Merlara,ITA
Albairate,ITA
Solesino,ITA
Tibi,ESP
Alessano,ITA
Linter,BEL
Pellizzano,ITA
Essen,DEU
Lisbon,PRT
Corsano,ITA
Urbana,USA
Oulu,FIN
Joensuu,FIN
Casalserugo,ITA
Ringkøbing-Skjern,DNK
"Breda, Netherlands",NLD
Hlybokaje,BLR
Giave,ITA
Cervia,ITA
Samsø,DNK
Patù,BRA
Landen,BEL
Copenhagen,DNK
Gothenburg,SWE
Nisyros (Aegean Islands),GRC
Porsgrunn,NOR
San Giorgio di Nogaro,ITA
San Giorgio di Nogaro,ITA
Moio de Calvi,ITA
Trondheim,NOR
Vedeseta,ITA
Santa Maria Nuova,ITA
Vilkaviškis,LTU
Balti,MDA
Vogogna,ITA
Peñarroya-Pueblonuevo,ESP
Frankenthal,DEU
Belfiore,ITA
Belvì,ITA
Kortenaken,BEL
Valtorta,ITA
Palma,ESP
Sartirana Lomellina,ITA
Dénia,ESP
Senigallia,ITA
Braslau,BLR
Kozloduy,BGR
Ornica,ITA
Dossena,ITA
Macerata,ITA
Nablus,PSE
Carona,ITA
"Birmingham, UK",GBR
Bila Tserkva,UKR
Albertslund,DNK
Halle,BEL
Tirana,ALB
Frederikshavn,DNK
Vaasa,FIN
Aberdeenshire,GBR
Münster,IRL
Genk,BEL
Menjez,LBN
Berlin,DEU
Leuven,BEL
Macerata Campania,ITA
Serre,ITA
Leeds,GBR
Vantaa,FIN
Offida,ITA
Hebron,PSE
Nilüfer,TUR
Tilburg,NLD
Kungsbacka,SWE
Jurmala,LVA
Villasimius,ITA
South Tyneside,GBR
Nikopol,UKR
Liedekerke,BEL
Delft,NLD
Villanova Tulo,ITA
Bagnolo San Vito,ITA
Gorga,ESP
Jolanda di Savoia,ITA
Luleå,SWE
Hannover,DEU
Paola,ITA
Teulada,ESP
Fontanafredda,ITA
Balsareny,ESP
Dilbeek,BEL
Isola D’Elba,ITA
Haarlem,NLD
Izegem,BEL
Bolzano,ITA
Hanau,DEU
Mezzoldo,ITA
Sant'Elena,ITA
Loiri Porto San Paolo,ITA
Basso Sulcis,ITA
Tàrbena,ESP
Bornova,TUR
Wezembeek-Oppem,BEL
Villa Literno,ITA
Mantova,ITA
Region Zuid-West-Vlaanderen,BEL
Lessebo,SWE
Ærø,DNK
Brugge,BEL
Socchieve,ITA
Socchieve,ITA
Balones,ESP
Lennik,BEL
Bagnoli di Sopra,ITA
Bracca,ITA
Pantelleria,ITA
Pantelleria,ITA
"Oxford, UK",GBR
Urbino,ITA
Somma Lombardo,ITA
Heidelberg,DEU
Sønderborg,DNK
Taleggio,ITA
Herbeumont,BEL
Fermo,ITA
Acquappesa,ITA
Pontecchio Polesine,ITA
Vimodrone,ITA
Isola di Fondra,ITA
Averara,ITA
Kruibeke,BEL
Comunità pioniera di Arborea,ITA
Commune de Paliseul,BEL
Korthi (Aegean Islands),GRC
Ios (Aegean Islands),GRC
Budapest,HUN
Jászberény Városi Önkormányzat,HUN
Turin,ITA
Tournai,BEL
Sant'Urbano,ITA
Patù,ITA
Münster,DEU
Region Zuid,BEL
Oxford,GBR
Paliseul,BEL
Picardy Wallonia,BEL
Alameda,USA
Hong Kong,CHN
Hoje-Taastrup,DNK
Columbia,USA
Los Angeles,USA
Vastervik,SWE
Dublin,IRL
Emeryville,USA
eThekweni,ZAF
Bursa,TUR
Arlington,USA
Louiseville,CAN
Abasan Al-Kabira,IRQ
Tainan,TWN
San Jose,USA
St Catharines,CAN
Santa Cruz,USA
Umea,SWE
Atlanta,USA
Cupertino,USA
Cambridge MA MA MA MA MA MA MA,USA
San Jose,USA
Ljubljana,SVN
Northhampton,USA
Kansas,USA
St Louis,USA
San Carlos,USA
St Louis,USA
Arlington,USA
BCP Council,GBR
KwaDukuza,ZAF
Calgary,CAN
Skovde,SWE
Mornington Peninsula,AUS
Sonoma,USA
Somerville,USA
Medford,USA
Tainan City,TWN
Reykjavik,ISL
Belo Horizonte,BRA
Singapore,SGP
Erie County,USA
Upssala,SWE
Vaxjo,SWE
Montejicar,ESP
Lipsi (Aagen Islands),GRC
Lorrach,DEU
Krsko,SVN
Monrupino,ITA
Ringkobing,DNK
Samso,DNK
Patu,ITA
Skyros Island,GRC
Vilkaviskis,LTU
Penarroya,ESP
Denia,ESP
Munster,DEU
Nilufer,TUR
Jaszbereny Varosi Onkormanyzat,HUN
Lulea,SWE
Isola D'Elba,ITA
Tarbena,ESP
Wezembeek,BEL
Unione dei Comuni NET (Nord Est Torino),ITA
Wallonie Picarde,BEL
Sonderborg,DNK
Kea (Aegean Islands),GRC
